KUALIFIKASI PERUSAHAAN,NAMA VENDOR,STATUS REKANAN,BIDANG USAHA,CQSMS VENDOR,PROVINSI,INDUSTRY KEY,KODE SUBKLASIFIKASI SBU
"PT","KARYA WARANI","Registered","Sub Kontraktor Kecil dan Menengah","","Kalimantan Selatan","","BS010"
"PT","BENTENG PERKASA TEKNIK","Registered","Supplier Menengah","","Riau","","BG002"
"CV","Syailendra Primatama Sejahtera","Registered","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Riau","","AL004"
"PT","MAHIDARA ARTHA SANGKARA","Unverified","Sub Kontraktor Kecil dan Menengah","","Jawa Barat","ELECTRICAL & CABLE POWER , SUPPLIER ;","BS010"
"CV","PURI GANESHA ENGINEERING","Rekanan Terdaftar","Supplier Menengah,","Supplier : 40 Low Risk (Version 3), Sub Kontraktor : 89 High Risk (Version 3)","Jawa Tengah","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","RK001"
"PT","AMYTHAS","Unverified","Sub Kontraktor Kecil dan Menengah","","DKI Jakarta","Tidak diketahui","AL003"
"PT","PT HEXA PRIMA PERKASA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 83 High Risk (Version 3)","DKI Jakarta","ELEKTRIKAL, SUBKON ;","BS002"
"PT","ERTIGA MAJU BERSAMA","Rekanan Terdaftar","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","TRAINING / PELATIHAN & SERTIFIKASI","BS004"
"CV","PT Cahaya Teknindo Majumandiri","Unverified","Supplier Menengah","","Jawa Barat","ALAT & MATERIAL BANTU PROYEK, SUPPLIER","IN001"
"PT","PT.DOSROHA INDAH","Unverified","Supplier Menengah","","DKI Jakarta","","BS004"
"PT","PT INFRATEKNO SARANA JAYA","Rekanan Terdaftar","Jasa Khusus Menengah dan Besar - Non Konstruksi","Sub Kontraktor : 44 Low Risk (Version 3)","DKI Jakarta","PEST CONTROL, SUBKON","BS001"
"PT","PRASTIMIARSO","Rekanan Terdaftar","Supplier Besar","Supplier : 39 Low Risk (Version 3)","Kalimantan Timur","ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER ;","BG009"
"PT","Cipta Graha Kreasitama","Registered","Supplier Menengah","","DKI Jakarta","","BS002"
"PT","BERSAMA BANGUN KARYA","Rekanan Terdaftar","Supplier Menengah","Supplier : 60 Low Risk (Version 1)","Jawa Tengah","BETON READY MIX, SUPPLIER","BG009"
"PT","PT KARSA INDRA SEJAHTERA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 65 Medium Risk (Version 1)","Jawa Barat","KONSTRUKSI JPO, SUBKON","BG001"
"PT","GLORIOUS CASANA","Rekanan Terdaftar","Supplier Besar","Supplier : 57 Medium Risk (Version 3)","DKI Jakarta","PIPA HDPE & VALVE FITTINGS, SUPPLIER ;","BS005"
"CV","SILUGONGGO CIPTA KARYA","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Banten","","BG006"
"PT","ABDI LESTARI","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 78 High Risk (Version 3)","DKI Jakarta","ERECTION GIRDER, SUBKON","BS010"
"PT","ARKONS SATYA KONSULTAN","Calon Rekanan Waskita Approved Level 1","Supplier Menengah","","DKI Jakarta","","RK002"
"PT","TIRTA BUMI NAGA","Rekanan Terdaftar","Supplier Menengah","Supplier : 75 High Risk (Version 3)","DKI Jakarta","PIPA BLACKSTEEL & GALVANIS & VALVE FITTINGS, SUPPLIER ;","BG003"
"PT","TENSINDO KREASI NUSANTARA","Unverified","Supplier Menengah","","Jawa Barat","","BS002"
"PT","SINAR SELATAN BANTEN","Unverified","Sub Kontraktor Kecil dan Menengah","","Jawa Timur","","BG006"
"Firma","ADITYA ENGINEERING CONSULTANT","Rekanan Terdaftar","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","KONSULTAN HUKUM","RK002"
"PT","STANDARD PILE","Rekanan Terdaftar","Supplier Menengah","Supplier : 65 High Risk (Version 3)","Jawa Barat","PRECAST SALURAN , KANSTIN , BARRIER & KOLOM PRAKTIS, SUPPLIER","KK001"
"PT","NURSEJATI ANDHIKA","Rekanan Terdaftar","Konsultan Konstruksi","Sub Kontraktor : 94 High Risk (Version 3)","DKI Jakarta","JASA ARSITEKTUR LAINNYA, SUBKON ;","IN004"
"PT","CAHAYA FAJAR UTAMA","Rekanan Terdaftar","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Jawa Barat","ELECTRICAL PANELS ( HV , MV , LV ), SUPPLIER","BS004"
"PT","KARYA SENTOSA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah,","","DKI Jakarta","PENYEDIA JASA K3 / SAFETY, SUBKON","BS001"
"PT","VSL JAYA INDONESIA","Rekanan Terseleksi Waskita","Supplier Besar","Supplier : 70 High Risk (Version 3)","DKI Jakarta","KAWAT BRONJONG / GABION, SUPPLIER","KK013"
"PT","TIGA SEKAWAN SERASI","Unverified","Sub Kontraktor","","DKI Jakarta","","BG004"
"PT","INDOTAMA SAKTI SEJAHTERA","Registered","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","","Jawa Barat","","BG002"
"PT","INDAH MEGAH DESAIN","Registered","Supplier Menengah,","","Jawa Barat","","BG009"
"CV","FASIH PASER BERJAYA","Unverified","Sub Kontraktor Kecil dan Menengah","","Lampung","ASPHALT, SUPPLIER","BS001"
"PT","DUTA BUANA PERMATA","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 56 Low Risk (Version 1)","Sumatera Selatan","","BG009"
"PT","FARAMA MITRA MANDIRI","Calon Rekanan Waskita Approved Level 1","Sub Kontraktor Besar","","Banten","","BG009"
"CV","MEKAR SARI","Registered","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","","KK001"
"PT","GENTA MULTI JAYYA","Unverified","Supplier","","Sumatera Barat West","","BG003"
"PT","Panata Bayu Nugraha","Registered","Sub Kontraktor Kecil dan Menengah","","Banten","","IN008"
"CV","KARYA PRIMA PONDASI","Registered","Konsultan Konstruksi","","Jawa Timur","","KK001"
"PT","SUKSES MANDIRI BERKAH","Unverified","Supplier Besar","","Jawa Timur","","BS001"
"CV","SEJAHTERA UTAMA","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","Sumatera Selatan","","BS001"
"PT","Beton Perkasa Wijaksana","Registered","Sub Kontraktor Kecil dan Menengah","","Jawa Tengah","ELEKTRIKAL, SUBKON","PL008"
"PT","TIGA DIMENSI KARYA KONSTRUKSI","Registered","Sewa Alat","","Nusa Tenggara Timur","","BG005"
"PT","MULTI INDOTECH","Rekanan Terdaftar","Supplier Menengah","Supplier : 55 Medium Risk (Version 3)","DKI Jakarta","BORROW MATERIAL, SUPPLIER","IN001"
"CV","HABE RASIMAN JAYA","Calon Rekanan Waskita","Perusahaan Mikro dan Kecil (Supplier dan Non-Konstruksi)","Supplier : 70 High Risk (Version 3)","Jawa Tengah","GRATING , DECK DRAIN & CAST IRON, SUPPLIER","BS004"
"PT","BUMI LARAS KARYA","Rekanan Terdaftar","Supplier Besar","Supplier : 87 High Risk (Version 3)","Sumatera Utara","BESI BETON, SUPPLIER","BG009"
"CV","BARATA INDONESIA (Persero)","Unverified","Supplier","","Sumatera Selatan","","KK016"
"PT","PT WSP ENGINEERING","Unverified","Jasa Khusus Menengah dan Besar - Non Konstruksi","","DKI Jakarta","ASURANSI","RK003"
"PT","CV DCN ABADI SENTOSA","Unverified","Sub Kontraktor Kecil dan Menengah","","Banten","GENSET / GENERATOR SET, SUPPLIER","BS001"
"PT","GRIYA FORTUNA BUUN","Rekanan Terdaftar","Sub Kontraktor Kecil dan Menengah","Sub Kontraktor : 66 High Risk (Version 3)","DKI Jakarta","ASPAL & HOTMIX, SUBKON","PL004"
"PT","PT COKRO PONDASI","Unverified","Sewa Alat","","DKI Jakarta","SEWA KENDARAAN","KK001"
"PT","Gaharu Global Perkasa","Rekanan Terseleksi Waskita","Sub Kontraktor Kecil dan Menengah","Supplier : 55 Low Risk (Version 1), Sub Kontraktor : 55 Low Risk (Version 1)","Banten","ASPAL & HOTMIX, SUBKON ;","BG006"
"PT","DEMAK INDAH","Unverified","Supplier Besar,","","DKI Jakarta","ALAT & MATERIAL BANTU PROYEK, SUPPLIER ;","BS001"
"PT","Alba Unggul Metal","Calon Rekanan Waskita Approved Level 1","Supplier Menengah,","","Jawa Barat","ACP / ALUMINIUM COMPOSITE PANEL, SUBKON ;","BG009"
"PT","KIARA SENTOSA KUNINGAN","Rekanan Terdaftar","Supplier Menengah","Supplier : 65 High Risk (Version 3)","DKI Jakarta","GENSET / GENERATOR SET, SUPPLIER","BS004"
"PT","PILAR UTAMA","Registered","Supplier Besar","","DKI Jakarta","","KK001"
"PT","ENVITECH PERKASA","Registered","Sub Kontraktor Kecil dan Menengah","","Banten","","IN007"
"CV","PROGRESMAX","Registered","Sub Kontraktor Kecil dan Menengah","","Nusa Tenggara Timur","","BS004"
